height,depth,position,value
10.49092237,1.67851665,1.67851665,149.2744294
10.49169552,1.6777435,1.6777435,150
10.49246868,1.67697034,1.67697034,149.7255706
10.49324183,1.67619719,1.67619719,149
10.49401498,1.67542404,1.67542404,148.7255706
10.49478814,1.67465088,1.67465088,148
10.49556129,1.67387773,1.67387773,148.5488588
10.49633445,1.67310457,1.67310457,149.4511412
10.4971076,1.67233142,1.67233142,146.9022823
10.49788075,1.67155827,1.67155827,144.2744294
10.49865391,1.67078511,1.67078511,145
10.49942706,1.67001196,1.67001196,144.4511412
10.50020021,1.66923881,1.66923881,143
10.50097337,1.66846565,1.66846565,143
10.50174652,1.6676925,1.6676925,142.7255706
10.50251967,1.66691935,1.66691935,142.8232883
10.50329283,1.66614619,1.66614619,145.2744294
10.50406598,1.66537304,1.66537304,146.2744294
10.50483914,1.66459988,1.66459988,148.3721471
10.50561229,1.66382673,1.66382673,152
10.50638544,1.66305358,1.66305358,152
10.5071586,1.66228042,1.66228042,152
10.50793175,1.66150727,1.66150727,151.4511412
10.5087049,1.66073412,1.66073412,149.7255706
10.50947806,1.65996096,1.65996096,148.1767117
10.51025121,1.65918781,1.65918781,145.1767117
10.51102437,1.65841465,1.65841465,142.1767117
10.51179752,1.6576415,1.6576415,140.2744294
10.51257067,1.65686835,1.65686835,141.8232883
10.51334383,1.65609519,1.65609519,145.0977177
10.51411698,1.65532204,1.65532204,148.5488588
10.51489013,1.65454889,1.65454889,150
10.51566329,1.65377573,1.65377573,150.8232883
10.51643644,1.65300258,1.65300258,153.2744294
10.51720959,1.65222943,1.65222943,154.5488588
10.51798275,1.65145627,1.65145627,156.2744294
10.5187559,1.65068312,1.65068312,157
10.51952906,1.64990996,1.64990996,157
10.52030221,1.64913681,1.64913681,157
10.52107536,1.64836366,1.64836366,157
10.52184852,1.6475905,1.6475905,158.0977177
10.52262167,1.64681735,1.64681735,160.7255706
10.52339482,1.6460442,1.6460442,159.4511412
10.52416798,1.64527104,1.64527104,156.9022823
10.52494113,1.64449789,1.64449789,153.4511412
10.52571429,1.64372473,1.64372473,152.5488588
10.52648744,1.64295158,1.64295158,155.0977177
10.52726059,1.64217843,1.64217843,158.5488588
10.52803375,1.64140527,1.64140527,160.2744294
10.5288069,1.64063212,1.64063212,161.5488588
10.52958005,1.63985897,1.63985897,162.4511412
10.53035321,1.63908581,1.63908581,160.1767117
10.53112636,1.63831266,1.63831266,156.9022823
10.53189951,1.63753951,1.63753951,153.1767117
10.53267267,1.63676635,1.63676635,150.7255706
10.53344582,1.6359932,1.6359932,150.2744294
10.53421898,1.63522004,1.63522004,150.1767117
10.53499213,1.63444689,1.63444689,147.7255706
10.53576528,1.63367374,1.63367374,146.1767118
10.53653844,1.63290058,1.63290058,143.4511412
10.53731159,1.63212743,1.63212743,141.7255706
10.53808474,1.63135428,1.63135428,140.7255706
10.5388579,1.63058112,1.63058112,139.7255706
10.53963105,1.62980797,1.62980797,138.7255706
10.54040421,1.62903481,1.62903481,137.4511412
10.54117736,1.62826166,1.62826166,135.7255706
10.54195051,1.62748851,1.62748851,135.2744294
10.54272367,1.62671535,1.62671535,136.5488588
10.54349682,1.6259422,1.6259422,137.1767118
10.54426997,1.62516905,1.62516905,135
10.54504313,1.62439589,1.62439589,135.2744294
10.54581628,1.62362274,1.62362274,136
10.54658943,1.62284959,1.62284959,135.4511412
10.54736259,1.62207643,1.62207643,134
10.54813574,1.62130328,1.62130328,134
10.5489089,1.62053012,1.62053012,134
10.54968205,1.61975697,1.61975697,134
10.5504552,1.61898382,1.61898382,134.5488588
10.55122836,1.61821066,1.61821066,136.8232882
10.55200151,1.61743751,1.61743751,139
10.55277466,1.61666436,1.61666436,139
10.55354782,1.6158912,1.6158912,139.2744294
10.55432097,1.61511805,1.61511805,140.8232882
10.55509413,1.61434489,1.61434489,144.3721471
10.55586728,1.61357174,1.61357174,148.5488588
10.55664043,1.61279859,1.61279859,150.5488588
10.55741359,1.61202543,1.61202543,152.8232882
10.55818674,1.61125228,1.61125228,154.7255706
10.55895989,1.61047913,1.61047913,153.7255706
10.55973305,1.60970597,1.60970597,153
10.5605062,1.60893282,1.60893282,153
10.56127935,1.60815967,1.60815967,153.5488588
10.56205251,1.60738651,1.60738651,155.8232882
10.56282566,1.60661336,1.60661336,159.3721471
10.56359882,1.6058402,1.6058402,165.1954353
10.56437197,1.60506705,1.60506705,174.0187236
10.56514512,1.6042939,1.6042939,185.8420118
10.56591828,1.60352074,1.60352074,198.7442941
10.56669143,1.60274759,1.60274759,207.0977177
10.56746458,1.60197444,1.60197444,209.4511412
10.56823774,1.60120128,1.60120128,207.1767118
10.56901089,1.60042813,1.60042813,202.8045647
10.56978405,1.59965497,1.59965497,193.1579882
10.5705572,1.59888182,1.59888182,178.8835588
10.57133035,1.59810867,1.59810867,167.1767118
10.57210351,1.59733551,1.59733551,165
10.57287666,1.59656236,1.59656236,161.9812764
10.57364981,1.59578921,1.59578921,152.3534235
